session,condition,resp_rate,subject
1,automatic,0,101
6,automatic,0,101
11,automatic,0.03314665,101
16,automatic,0.014135414,101
21,automatic,0.012990266,101
27,automatic,0.431479029,101
31,automatic,0.028539221,101
2,attention,0.035204337,101
7,attention,0.034068136,101
12,attention,0.032914042,101
17,attention,0.013902806,101
22,attention,0.021677283,101
28,attention,0.002666046,101
33,attention,0.001520899,101
4,control,0,101
9,control,0,101
14,control,0.023520255,101
19,control,0.022384054,101
24,control,0.012283496,101
30,control,0.00220083,101
35,control,0,101
5,demand,0.793452977,101
10,demand,1.417289937,101
15,demand,0.800064415,101
20,demand,1.209633553,101
26,demand,1.61027412,101
31,demand,1.394843258,101
36,demand,3.206189164,101
3,tangible,1.061775336,101
8,tangible,0.015951546,101
13,tangible,0.041601059,101
18,tangible,1.835107715,101
23,tangible,2.030382193,101
29,tangible,1.636379903,101
34,tangible,3.019163327,101
3,demand,0.807692308,102
7,demand,1.00295858,102
10,demand,0.204142012,102
14,demand,2.201183432,102
17,demand,2.192307692,102
4,control,0,102
11,control,0,102
19,control,0.00887574,102
1,tangible,1.411242604,102
6,tangible,0.825443787,102
9,tangible,1.855029586,102
13,tangible,2.24556213,102
16,tangible,1.99704142,102
2,attention,5.02E-04,103
5,attention,0.304746951,103
10,attention,0.004006717,103
3,control,0.199590174,103
6,control,0,103
4,control,0.398682009,103
8,demand,0.302007906,103
12,demand,0.402194025,103
14,demand,0.502114606,103
1,automatic,0.003735723,103
7,automatic,0.005252564,103
11,automatic,0.006005529,103
13,automatic,0.104181924,103
2,attention,0.028079902,104
6,attention,0.040439816,104
10,attention,0.043948565,104
14,attention,1.038698657,104
18,attention,0.042253661,104
4,control,0.029923482,104
8,control,0.033392583,104
12,control,0.036940979,104
20,control,0.043998123,104
3,demand,0.195716816,104
7,demand,1.611496934,104
11,demand,2.00975974,104
15,demand,0.802730348,104
19,demand,0.622089258,104
1,automatic,2.027214278,104
5,automatic,0.636054871,104
9,automatic,0.04311598,104
13,automatic,2.230820823,104
17,automatic,2.243160913,104
1,automatic,0.21221865,105
6,automatic,0.012861736,105
11,automatic,0.019292605,105
16,automatic,0.025723473,105
21,automatic,0.218649518,105
2,attention,0.019292605,105
7,attention,0.019292605,105
12,attention,0.006430868,105
17,attention,0.012861736,105
22,attention,0.032154341,105
3,control,0.012861736,105
8,control,0.218649518,105
13,control,0.012861736,105
18,control,0,105
23,control,0,105
4,demand,0.006430868,105
9,demand,0.205787781,105
14,demand,0.803858521,105
19,demand,1.028938907,105
24,demand,2,105
5,tangible,0.019292605,105
10,tangible,0.006430868,105
15,tangible,0.231511254,105
20,tangible,0.006430868,105
24,tangible,0.21221865,105
5,tangible,3.031649895,106
10,tangible,2.510126233,106
15,tangible,4.124335419,106
20,tangible,2.305434193,106
2,attention,0.71782842,106
7,attention,1.014659599,106
12,attention,1.3015208,106
17,attention,0.690196758,106
3,control,0.208321152,106
8,control,0.105970092,106
13,control,0.113399692,106
18,control,0.110849233,106
4,demand,0.597019289,106
9,demand,0.185296448,106
14,demand,0.691739131,106
19,demand,0.080394928,106
