,Alone,Attention,Tangible,Play,Demand
1,0.2,,,,
2,,0.9,,,
3,,,1.2,,
4,,,,1.4,
5,,,,,0.2
6,0.4,,,,
7,,2.7,,,
8,,,1.3,,
9,,,,3.2,
10,,,,,0.0
11,0.0,,,,
12,,1.7,,,
13,,,0.9,,
14,,,,2.8,
15,,,,,0.2
16,0.1,,,,
17,,2.8,,,
18,,,1.2,,
19,,,,0.8,
20,,,,,0.0
21,0.0,,,,
22,,0.7,,,
23,,,0.1,,
24,,,,0.9,
25,,,,,0.2
26,0.2,,,,
27,,1.2,,,
28,,,1.3,,
29,,,,0.7,
30,,,,,0.1
31,0.3,,,,
32,,2.4,,,
33,,,1.1,,
34,,,,0.5,
35,,,,,0.0
36,0.2,,,,
37,,1.5,,,
38,,,0.1,,
39,,,,0.1,
40,,,,,0.0
41,0.0,,,,
42,,2.1,,,
43,,,0.6,,
44,,,,0.5,
45,,,,,0.0
46,0.1,,,,
47,,1.4,,,
48,,,0.1,,
49,,,,1.0,
50,,,,,0.0
51,0.0,,,,
52,,1.5,,,
53,,,0.2,,
54,,,,0.2,
55,,,,,0.0
56,0.0,,,,
57,,1.5,,,
58,,,0.2,,
