,Attention,Tangible,Demand,Play
1,,0.0,,
2,0.0,,,
3,,,,0.0
4,,,0.0,
5,,,,0.0
6,,,0.0,
7,,0.8,,
8,0.0,,,
9,,,,0.0
10,0.0,,,
11,,,0.0,
12,,0.0,,
13,,,0.0,
14,,0.0,,
15,,,,0.0
16,20.6,,,
17,,0.9,,
18,,,0.0,
19,,,,0.0
20,38.4,,,
21,,,7.8,
22,,,,0.0
23,47.4,,,
24,,0.0,,
25,,,,0.0
26,47.2,,,
27,,,0.0,
28,,1.9,,
29,44.4,,,
30,,0.0,,
31,,,,0.0
32,,,0.0,
33,,,,0.0
34,,,7.4,
35,27.5,,,
36,,5.3,,
37,,3.7,,
38,,,,0.0
39,19.9,,,
40,,,6.6,
41,,,8.0,
42,30.9,,,
43,,,,0.0
44,,5.5,,
45,,,7.9,
46,,4.2,,
47,22.9,,,
48,,,,0.0
49,16.5,,,
50,,,4.9,
51,,7.7,,
52,,,,0.0
53,,2.4,,
54,,,,0.0
55,,,6.1,
56,29.4,,,
57,,,,0.0
58,20.4,,,
59,,4.3,,
60,,,12.8,
