#,subject ID,tangible,demand,attention,tangible,demand,attention,error in graph,brief explenation
,,Differentiation Present (true/false; not case sensitive),,,"Targeted Treatment
(mark with true for conditon that should be targeted, leave others blank; not case sensitive)",,,"Error present in graph
(mark with x if true; not case sensitive)",
0,2,1,1,0,1,0,0,,
1,3,1,0,0,1,0,0,,
2,4,0,1,0,0,1,0,,
3,9,0,1,1,0,0,1,1,automatic function 
4,13,1,0,0,1,0,0,,
5,14,1,0,1,0,0,1,,
6,16,1,0,0,1,0,0,,
7,18,1,0,1,1,0,0,,
8,19,0,1,0,0,1,0,1,control is elevated 
9,20,0,1,1,0,0,1,,
10,22,0,0,1,0,0,1,,
11,23,1,0,0,1,0,0,,
12,24,0,1,1,0,0,1,1,control is elevated 
13,25,0,1,0,0,1,0,,
14,26,1,1,1,1,0,0,,
15,28,1,1,1,1,0,0,,
16,30,0,1,0,0,1,0,,
17,31,0,1,0,0,1,0,,
18,34,1,1,0,0,1,0,,
19,36,1,1,0,0,1,0,,
20,38,1,1,0,0,1,0,,
21,43,1,0,0,1,0,0,1,control is elevated 
22,46,0,0,1,0,0,1,,
23,47,1,1,1,0,0,1,1,automatic function 
24,48,1,1,1,0,1,0,1,automatic function 
25,49,1,1,1,0,1,0,1,automatic function 
26,50,1,0,0,1,0,0,,
27,52,1,1,0,0,1,0,,
28,54,1,0,1,1,0,0,,
29,56,0,0,1,0,0,1,,
30,57,0,0,1,0,0,1,,
31,58,0,1,0,0,1,0,,
32,61,1,0,0,1,0,0,,
33,64,1,1,1,1,0,0,1,automatic function 
34,68,1,1,1,0,1,0,1,control is elevated
35,69,1,0,0,1,0,0,,
36,70,0,1,0,0,1,0,,
37,71,0,1,0,0,1,0,1,control is elevated 
38,72,0,1,0,0,1,0,,
39,74,1,0,0,1,0,0,,
40,76,1,0,0,1,0,0,,
41,78,1,1,1,0,1,0,1,automatic function 
42,79,1,0,0,1,0,0,,
43,80,0,1,0,0,1,0,,
44,82,0,1,0,0,1,0,,
45,101,1,0,1,1,0,1,,
46,102,1,1,0,1,0,0,,
47,103,0,1,1,0,1,0,1,control is elevated 
48,104,0,1,0,0,1,0,,
49,105,0,1,0,0,1,0,,
50,106,1,0,1,1,0,0,,
51,107,0,1,1,0,0,1,1,control is elevated 
52,110,1,1,1,0,0,1,1,multiply maintained 
53,111,1,1,1,0,0,1,1,multiply maintained 
54,132,0,1,1,0,0,1,1,multiply maintained 
55,133,1,0,0,1,0,0,,
56,134,0,0,1,0,0,1,1,control is elevated 
57,136,1,0,0,1,0,0,,
58,140,1,0,1,0,0,1,,
59,142,0,0,1,0,0,1,1,control is elevated 
60,143,0,1,1,0,1,0,1,control is elevated
61,156,1,0,1,0,0,1,,
62,158,0,1,0,0,1,0,,
